Dossard,Place,Nom,Prénom,Club,Département,Fédération,Catégorie
72,1,Dupin ,Alexandre ,Team 3 massifs,38,,UFOLEP 3
58,2,Vial,Willy,Le Fontanil Cyclisme,38,,UFOLEP 3
57,3,CHERY,Paul,FONTANIL CYCLISME,38,,UFOLEP 3
64,4,Rajon,Titouan,Scale,38,,UFOLEP 3
51,5,Lenain,Loic,Fontanil,38,,UFOLEP 3
70,6,Gevaudan,Didier,TEAM ATC 26 DONZÈRE,26,,UFOLEP 3
66,7,ciprelli,patrice,Roue d'or Sanary,Autre,,UFOLEP 3
62,8,Giannone ,Joseph ,UC Voiron,38,,UFOLEP 3
67,9,Longo,Jeannie,Roue d(or Sanary,Autre,,UFOLEP 3
76,10,gateaux,damien,Jarrie champ cyclisme,38,,UFOLEP 3
81,11,PARROT,YVES,UC VOIRON,38,FFC,FFC HOMMES ACCESS 4
53,12,pinjon,samuel,FONTANIL CYCLISME,38,,UFOLEP 3
80,13,Hage,Benoît ,UC Voiron,38,FFC,FFC HOMMES ACCESS 4
79,14,UHRY,Gilles,TEAM 3 MASSIFS,38,,UFOLEP 3
69,15,Bédora,THOMAS,SCALE,38,,UFOLEP 3
61,16,CANDEIAS,Damien,JCC,38,,UFOLEP 3
54,17,Valero,Angelique ,FONTANIL CYCLISME,38,,UFOLEP 3
59,18,Denis,Rémy ,UCPG,38,,UFOLEP 3
63,19,Moreau,Hippolyte,Team 3 massifs,38,,UFOLEP 3
56,20,Fournier,Stephane,FC FONTANIL,38,,UFOLEP 3
68,21,PATRICELLI,Armand,CYCLO CLUB DE GIERES,38,,UFOLEP 3
73,22,SEVOZ ,Arnaud,Uc voiron,38,,UFOLEP 3
82,23,Inderchit,jean louis,UC VOIRON,38,FFC,FFC HOMMES ACCESS 4
83,24,Bousseliou,Mohamed,UC Voiron,38,FFC,FFC HOMMES ACCESS 4
52,25,Marchais,Alexandre,Fontanil Cyclisme,38,,UFOLEP 3
74,26,Micas,Titouan,Cyclo Club de Gières,38,,UFOLEP 3
55,27,Deletroy,Axel,Fontanil Cyclisme,38,,UFOLEP 3
75,AB,DELECAMBRE,Yohann,TEAM 3 MASSIFS,38,,UFOLEP 3
77,AB,GRAS,François,TEYRAN BIKE,Autre,,UFOLEP 3
60,NP,Querniard,Perre,Ucvoiron,38,,UFOLEP 3
65,NP,Petite,Patrice ,UCPG,38,,UFOLEP 3
71,NP,Leiva Marcon ,Benoît ,VC Pontois,38,,UFOLEP 3
78,NP,Ruiz,Francois Xavier,BMC,Autre,,UFOLEP 3
