Classement,Dossard,NomFamille,Prénom,Colonne1,Club,Sprint,CLM,Elimination,Total 
1er ,58,Messy,Hugo,UFOLEP 3,Orcière Team Cycling,21,18,20,59
2ème,62,Dupin,Alexandre,UFOLEP 3,Team 3 Massifs,12,14,22,48
3ème ,55,Rajon,Titouan,UFOLEP 3,SCALE,10,15,18,43
4ème ,63,Parmentier,Victor,UFOLEP 3,Team 3 Massifs,4,19,12,35
5ème ,54,Bescond,Didier,UFOLEP 3,Jarrie Champs Cyclisme,4,12,19,35
6ème ,64,Uhry,Gilles,UFOLEP 3,Team 3 Massifs,14,10,6,30
7ème ,69,Albisser,Esteban,FFC,UC Voiron,6,3,21,30
8ème ,59,dohen,christophe,UFOLEP 3,CC Gières,3,13,13,29
9ème ,53,Candeias,Damien,UFOLEP 3,Jarrie Champs Cyclisme,2,16,10,28
10ème ,61,Bernard,Patrick,UFOLEP 3,Team 3 Massifs,5,7,16,28
11ème ,60,Mourcet,Nicolas,UFOLEP 3,CC Gières,0,17,9,26
12ème ,56,Bedora,Thomas,UFOLEP 3,SCALE,0,8,17,25
13ème ,57,Ieva Marcon,Benoit,UFOLEP 3,Pont de Claix,5,11,7,23
14ème ,68,Sevoz,Arnaud,UFOLEP 3,UC Voiron,0,9,11,20
15ème ,65,Giannone,Joseph,UFOLEP3,UC Voiron,1,1,15,17
16ème ,70,Descombes,Alexis,FFC,UC Pontcharra,0,2,14,16
17ème ,52,Denis,Remy,UFOLEP 3,UC Pontcharra,3,4,8,15
18ème ,51,Merlot,Raphaël,Access 4,Roc Vtt,0,5,4,9
19ème ,66,Inderchit,Jean-Louis,Access 4,UC Voiron,0,3,5,8
20ème ,50,Deletroy,Axel,UFOLEP 3,Fontanil Cyclisme,0,6,1,7
21er ,67,Bousseliou,Mohamed,Access 4,UC Voiron,0,2,3,5
22ème ,71,Vassard,Yanaël,FFC,UC Voiron,0,1,2,3
