Clst,DOS,NOM,Club,Catégorie,Rem
01,40,CONTI Guillaume,TEAM JALLET AUTO,UFOLEP 1,
02,41,NICOL Aléxis,CHAMBERY CYCLISME COMPETITION,UFOLEP 1,
03,32,BAUDOUIN Jérémy,TEAM JALLET AUTO,UFOLEP 1,
04,13,GEORJON Baptiste,GMC 38,UFOLEP 1,
05,36,VAUDEY Bastien,TEAM JALLET AUTO,UFOLEP 1,
06,29,PEAN GAIGNARD Noé ,LA MOTTE SERVOLEX CYCLISME,UFOLEP 1,
07,33,HUN Nicolas,OLYMPIQUE CYCLISME ALBERTVILLE,UFOLEP 1,
08,30,BLANCHIN Mathieu,UC VOIRONNAISE,UFOLEP 1,
09,38,DUPONT Joachim,CHAMBERY CYCLISME COMPETITION,UFOLEP 1,
10,08,HAGE Titouan,UC VOIRONNAISE,UFOLEP 1,
11,17,TETU Julien,AC LYON VAISE,UFOLEP 1,
12,37,VERNEY Frédéric,TEAM JALLET AUTO,UFOLEP 1,
13,24,CHAMBON Florentin,LA TEAM COULEURS DE SAVOIE,UFOLEP 1,
14,28,SAGE Thibault,UC VOIRONNAISE,UFOLEP 1,
15,23,GRANADE  Romuald ,AS FONTAINE CYCLISME,UFOLEP 1,
16,42,JACQUEMOD Jean-Noël,ASPES CYCLOSPORT,UFOLEP 1,
17,19,BERANGER Eddy,ESSM CYCLISME,UFOLEP 1,
18,31,MAT Camille,JALLET AUTO,UFOLEP 1,
19,27,SAGE Jérôme ,UC VOIRONNAISE,UFOLEP 1,
20,25,MALLET Vincent,ESSM CYCLISME,UFOLEP 1,
21,15,GEFFROY Maxime,ESSM CYCLISME,UFOLEP 1,
22,03,SYLVESTRE Théophile,UC PONTCHARRA,UFOLEP 1,
23,16,CUSSIGH Charles,ESSM CYCLISME,UFOLEP 1,
24,10,SCHMIT Raphaël,UC VOIRONNAISE,UFOLEP 1,
25,20,BOUCHET Justin,AS FONTAINE CYCLISME,UFOLEP 1,
26,09,LAMBERSEND Baptiste,UC VOIRONNAISE,UFOLEP 1,
27,05,VIGNON Paul-Eliott,UC PONTCHARRA,UFOLEP 1,
28,26,GAUTHIER-PHILIPPE Erwin ,LAC ALLIANCE CYCLISTE ,UFOLEP 1,
29,14,BOCQUET Raphaël,ESSM CYCLISME,UFOLEP 1,
30,06,AUBERT Thomas,UC PONTCHARRA,UFOLEP 1,
,02,OWEN  Liam ,UC PONTCHARRA,UFOLEP 1,DNF
,04,BRONDEX  Malo,UC PONTCHARRA,UFOLEP 1,DNF
,07,HUMBERT Michael,LAC ALLIANCE CYCLISTE ,UFOLEP 1,DNF
,11,RUFFINENGO bastien,ESSM CYCLISME,UFOLEP 1,DNF
,12,GELAS Jean,RIVES UNION CYCLISTE,UFOLEP 1,DNF
,21,BOUCHET Gérald,AS FONTAINE CYCLISME,UFOLEP 1,DNF
,22,VASSARD Yanael ,UC VOIRONNAISE,UFOLEP 1,DNF
,34,LUCAS Jacques,TEAM JALLET AUTO,UFOLEP 1,DNF
,35,PEZERIL Clément,CHAMBERY CYCLISME COMPETITION,UFOLEP 1,DNF
,39,JALLET William,TEAM JALLET AUTO,UFOLEP 1,DNF
,01,DESCOMBES Alexis,UC PONTCHARRA,UFOLEP 1,DNS
,18,RICAU Charles,LE FONTANIL CYCLISME,UFOLEP 1,DNS
