Rang,Dossard,Fédération,Dép.,Nom,Prénom,Club,Obs
1,30,,,MESSY PATRICK,,VELO CLUB DE PORT DE BOUC,
2,31,,,PARA DAMIEN,,ECHIROLLES SPRINTCLUB AMICALELAIQUE,
3,26,,,GUILLERMIN ROLAND,,RIVES UNION CYCLISTE,
4,23,,,DEBUCK LAURENT,,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,
5,32,,,RAMBAUD JULIEN,,TEAM 3 MASSIFS,
6,34,,,VIAL JACQUES,,ECHIROLLES SPRINTCLUB AMICALELAIQUE,
7,29,,,MARCHAIS ALEXANDRE,,LE FONTANIL CYCLISME,
8,25,,,GLENAZ LAURENT,,ECHIROLLES SPRINTCLUB AMICALELAIQUE,
9,28,,,LOUPIEN VINCENT,,CYCLO CLUB DE GIERES,
10,24,,,FOURNIER STEPHANE,,LE FONTANIL CYCLISME,
11,21,,,BERNABE BRUNO,,ECHIROLLES SPRINTCLUB AMICALELAIQUE,
12,33,,,CARTIER MILLON RAYMOND,,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,
AB,22,,,CARUELLE FLORENT,,TEAM 3 MASSIFS,
NP,27,,,LA RIZZA SEBASTIEN,,RIVES UNION CYCLISTE,
