Class.,Doss.,Nom,Prénom,Club,Temps,x
1,52,GATINEAU,Gaetan,UC PONTCHARRA,00:55:05,6
2,43,DELETROY,Axel,Fontanil cyclisme,00:56:00,3
3,81,MERLO,Raphaël,Team 3 Massifs,00:56:02,4
4,20,BUISSON,Gregory,Ucpg,00:59:38,7
5,40,DE FLAUGERGUES,Francois,SUD GRESIVAUDAN CYCLISME COMPETITION,01:00:38,9
6,73,LORENZO,Philippe,CCGIERES,01:00:46,4
7,60,HOUDARD,Antoine,Union Cycliste Gradignanaise,01:01:45,5
8,100,RAMOUSSE,Christophe,CC GIERES,01:01:48,8
9,96,PINTUS,Emmanuel,UCPG Pontcharra,01:03:27,6
10,37,D'ASCOLI,Jean-Pierre,CC GIERES,01:04:44,3
11,121,TRISTAN,Sainthuile,Team 3 massifs,01:05:07,8
12,123,UHRY ,Gilles ,Team 3 Massifs,01:06:59,8
13,77,MARGUET,Aline,Alpin's Wheel Team,01:07:09,4
14,63,JALLIFFIER-TALMAT,Patrice,Jarrie champ cyclisme,01:08:06,0
15,93,PATRICELLI ,Gilles,Team 3 Massifs,01:09:43,8
