,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2023-01-01,False,False,-1,1,PERKINS Bradley,Amicale Cycliste Bisontine,SH
1,2023-01-01,False,False,-1,2,LIMONE Maxime,Union Cycliste Pélussin Loire Pilat,M1
2,2023-01-01,False,False,-1,3,TACHOT Laurent,C2S,M3
3,2023-01-01,False,False,-1,4,FARCIN Noa,Union Cycliste Pélussin Loire Pilat,SH
4,2023-01-01,False,False,-1,5,FRIOT Jules,VC Villefranche Beaujolais,CJ
5,2023-01-01,False,False,-1,6,LAMBERT Célestin,Gmc38-Ef,SH
6,2025-01-13,False,False,130,7,PIGNEDE PIERRE,CYCLO CLUB DE GIERES,U2
7,2023-01-01,False,False,-1,8,FUHRMANN Louis,Club Sport Handicap du Nord,SH
8,2023-01-01,False,False,-1,9,BEJUIS Cedric,Alpin's wheel team,M1
9,2023-01-01,False,False,-1,10,DERRIEN Stéphane,Atc donzere,M1
10,2023-01-01,False,False,-1,11,HODEBOURG-RINNA Josué Daniel,CCV - Jeunesse franciscaine,SH
11,2023-01-01,False,False,-1,12,VERDIER Sébastien,Atc donzere,M2
12,2023-01-01,False,False,-1,13,PEVET Nicolas,,M2
13,2023-01-01,False,False,-1,14,PELLERIN Xavier,Uccognin,M2
14,2025-01-14,False,False,1,15,AGUD THIERRY,ALPIN'S WHEEL TEAM,U2
15,2023-01-01,False,False,-1,16,GENTY Arnaud,UC VOIRON,M2
16,2023-01-01,False,False,-1,17,COLLET Leo,Hénin-Beaumont,SH
17,2023-01-01,False,False,-1,18,GILLET Romuald,Team ATC 26 Donzère,U3
18,2023-01-01,False,False,-1,19,DOBLADO Mathieu,SGCC,CJ
19,2023-01-01,False,False,-1,20,DURAND Johan,CS GALAURIEN,M2
20,2023-01-01,False,False,-1,21,DAVID Yann,UC VOIRON,M3
21,2023-01-01,False,False,-1,22,BUISSON Nicolas,L'ECOLE DES GRIMPEURS,M3
22,2025-02-26,False,False,105,23,MAZZA FABRICE,LE FONTANIL CYCLISME,U2
23,2023-01-01,False,False,-1,24,BUSATO Amaury,Brison Saint Innocent Cyclisme,M1
24,2025-04-02,False,False,107,25,MELEZE FREDERIC,SUD GRESIVAUDAN CYCLISME,U2
25,2025-01-13,False,False,98,26,LORIGEON FABIEN,LA TRONCHE VELO SPORT,U2
26,2025-01-30,False,False,121,27,PARMENTIER VICTOR,TEAM 3 MASSIFS,U2
27,2025-03-17,False,False,172,28,VASQUEZ THIERRY,LA TRONCHE VELO SPORT,U1
28,2025-01-13,False,False,40,29,COLLETTE MAXIME,TEAM 3 MASSIFS,U2
29,2025-01-13,False,False,93,30,LEONE MATTHIEU,CYCLO CLUB DE GIERES,U2
30,2023-01-01,False,False,-1,31,BERAUD Richard,CYCLO TEAM 69,U3
31,2025-01-13,False,False,17,32,BLASQUEZ LUCA,ALPIN'S WHEEL TEAM,U1
32,2023-01-01,False,False,-1,33,GEVAUDAN Didier,TEAM ATC 26 DONZÈRE,U3
33,2023-01-01,False,False,-1,34,PICOLLET André,Brison st innocent cyclisme,M4
34,2023-01-01,False,False,-1,35,THIEVENT Jean Claude,Le soleil brille pour tout le monde,M2
35,2023-01-01,False,False,-1,36,CLAQUIN Mathieu,Fontanil Triathlon,SH
36,2023-01-01,False,False,-1,37,FOURCADE Jérôme,CVAC,M2
37,2025-01-30,False,False,41,38,COLOTTI JULIEN,TEAM 3 MASSIFS,U2
38,2025-03-19,False,False,44,39,DE FLAUGERGUES FRANCOIS,SUD GRESIVAUDAN CYCLISME,U3
39,2025-09-09,False,False,197,40,ANCELY COLIN,TEAM 3 MASSIFS,U3
40,2025-01-30,False,False,169,41,UHRY GILLES,TEAM 3 MASSIFS,U3
41,2023-01-01,False,False,-1,42,RODET Julien,SGCC,M2
42,2025-03-17,False,False,144,43,RICHIERO ANGE,LA TRONCHE VELO SPORT,CJ
43,2023-01-01,False,False,-1,44,BRIAND Dominique,SC Manissieux,U3
44,2023-01-01,False,False,-1,45,COUSINA Mathieu,,M2
45,2023-01-01,False,False,-1,46,GILLES Cyril,Salon Cyclosport,U2
46,2023-01-01,False,False,-1,47,SAVOIE Jean-Luc,BRISON SAINT INNOCENT CYCLISME,M4
47,2023-01-01,False,False,-1,48,DIDIER Christophe,VCT,M3
48,2025-01-14,False,True,76,49,HERTAULT AGNES,ALPIN'S WHEEL TEAM,F2
49,2025-02-04,False,False,46,50,DEBUCK LAURENT,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,U3
50,2023-01-01,False,False,-1,51,DECHAUMEL Dominique,Veloce vannetais cyclisme,M3
51,2025-04-04,True,False,109,52,MELEZE LOUISON,SUD GRESIVAUDAN CYCLISME,UC
52,2025-01-13,False,True,5,53,ARNAUD AGATHE,CYCLO CLUB DE GIERES,U3
53,2023-01-01,False,False,-1,54,REY Jerome,Fontanil triathlon,M2
54,2025-01-13,False,True,125,55,PELLEGRIN NOEMIE,UNION CYCLISTE VOIRONNAISE,F1
55,2023-01-01,False,False,-1,56,BRES Romain,,M2
56,2025-01-30,False,False,138,57,RAMBAUD JULIEN,TEAM 3 MASSIFS,U4
57,2023-01-01,False,False,-1,58,BERTRAND Jean-Paul,Cyclo team 69,U3
58,2023-01-01,False,False,-1,59,DÉNARIÉ Raphaël,Aquatique Club Olympide (ACO),CJ
59,2023-01-01,False,False,-1,60,PREY Rémi,UC VOIRON,M2
60,2023-01-01,False,False,-1,61,SIMEONE Franck,VELO CLUB FRANCHEVILLE,M4
61,2023-01-01,False,False,-1,62,FOURIER Thomas,,SH
62,2023-01-01,False,False,-1,63,GIRARD Thomas,Elan Chambérien,M1
63,2023-01-01,False,False,-1,64,RENARD Pascal,Cyclo Team 69,U3
64,2023-01-01,False,False,-1,65,POMORSKI Vincent,La Passerelle,M1
65,2023-01-01,False,False,-1,66,KOSSOVSKY Boris,Guc triathlon,M1
66,2023-01-01,False,False,-1,67,HOEHE Baptiste,ASA Claudine Desmars - La Sauvegarde,CJ
67,2025-01-30,False,False,29,68,CARRE HERVE,TEAM 3 MASSIFS,U4
68,2023-01-01,False,False,-1,69,BARLETIER Emmanuel,CHAMBARAID,M3
69,2023-01-01,False,False,-1,70,FAUCHEUR Pierre,Bourgoin-Jallieu,M5
70,2023-01-01,False,False,-1,71,LEROUX Tara,Athletic club Boulogne Billancourt,F1
71,2023-01-01,False,False,-1,72,FAVRO Christian,CVAC,M5
72,2023-01-01,False,False,-1,73,CORTESE Gilles,,M4
73,2023-01-01,False,False,-1,74,GIARDINA-PAGANON Axel,ASA Claudine Desmars - La Sauvegarde,SH
74,2023-01-01,False,False,-1,75,PORCHER Nathan,ASA Claudine Desmars - La Sauvegarde,
