,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2023-01-01,False,False,-1,01,SCHNEIDER Enzo,LA MOTTE SERVOLEX CYCLISME,15/16 ans
1,2023-01-01,False,False,-1,02,BURDET Kenny,LA MOTTE SERVOLEX CYCLISME,15/16 ans
2,2023-01-01,False,False,-1,03,AMAND Charlie,LA MOTTE SERVOLEX CYCLISME,15/16 ans
3,2023-01-01,False,False,-1,04,BERTELET-DELCROIX Ewenn,LA MOTTE SERVOLEX CYCLISME,15/16 ans
4,2023-01-01,False,False,-1,05,GUILLAUD William,LA MOTTE SERVOLEX CYCLISME,15/16 ans
5,2023-01-01,False,False,-1,06,ROMANET Thomas,UC PONTCHARRA,15/16 ans
6,2025-01-13,True,False,150,07,SELIN LOIC,UNION CYCLISTE VOIRONNAISE,15/16 ans
7,2023-01-01,False,False,-1,08,MUNSTERMAN Niels,UC PONTCHARRA,15/16 ans
8,2025-04-04,True,True,157,09,SORDET LILY-ANNE,UNION CYCLISTE VOIRONNAISE,15/16 ans
9,2025-03-19,True,False,75,10,HERNANDEZ RAFAEL,UNION CYCLISTE VOIRONNAISE,15/16 ans
10,2023-01-01,False,False,-1,DNF,LADURELLE  Charles ,LA MOTTE SERVOLEX CYCLISME,15/16 ans
