,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2025-03-17,False,False,172,1,VASQUEZ THIERRY,LA TRONCHE VELO SPORT,60
1,2025-01-15,False,False,149,2,SEITE ALAIN,TEAM 3 MASSIFS,60
2,2025-01-13,False,False,135,3,QUERNIARD PIERRE,UNION CYCLISTE VOIRONNAISE,60
3,2025-02-26,False,False,129,4,PIC GERARD,LE FONTANIL CYCLISME,60
4,2025-02-26,False,False,62,5,FOURNIER STEPHANE,LE FONTANIL CYCLISME,60
5,2025-03-19,False,False,44,6,DE FLAUGERGUES FRANCOIS,SUD GRESIVAUDAN CYCLISME,60
6,2025-01-13,False,False,27,7,BUSCAYLET PHILIPPE,CYCLO CLUB DE GIERES,60
7,2025-01-14,False,False,73,8,GUILLERMIN ROLAND,RIVES UNION CYCLISTE,60
8,2025-01-10,False,False,174,9,VIAL JACQUES,ECHIROLLES SPRINTCLUB AMICALELAIQUE,60
9,2025-01-30,False,False,29,10,CARRE HERVE,TEAM 3 MASSIFS,60
10,2025-01-13,False,False,30,11,CARTIER MILLON RAYMOND,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,60
