,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2025-04-04,False,False,108,1,MELEZE JEAN-PHILIPPE,SUD GRESIVAUDAN CYCLISME,u2
1,2023-01-01,False,False,-1,2,PALERMO Noan,Lac Alliance Cycliste,u2
2,2023-01-01,False,False,-1,3,JALLET William,Team Jallet Auto,u2
3,2025-01-13,False,False,23,4,BROUSSET TRISTAN,ALPIN'S WHEEL TEAM,u2
4,2025-02-26,False,False,38,5,CHERY PAUL,LE FONTANIL CYCLISME,u2
5,2025-02-26,False,False,114,6,MONGE NICOLAS,LE FONTANIL CYCLISME,u2
6,2023-01-01,False,False,-1,7,BOISSY Guenael,UC Voiron,u2
7,2023-01-01,False,False,-1,8,LADURELLE Benoit,La Motte Servolex Cyclisme,u2
8,2025-02-26,False,False,94,9,LISI SAMUELE,LE FONTANIL CYCLISME,u2
9,2025-01-30,False,False,56,10,DUPIN ALEXANDRE,TEAM 3 MASSIFS,u2
10,2023-01-01,False,False,-1,11,SCISCIOLI Leonard,Sud Gresivaudan CC,u2
11,2025-02-06,False,False,68,12,GERRAND ANTONY,UNION CYCLISTE VOIRONNAISE,u2
12,2025-01-30,False,False,41,13,COLOTTI JULIEN,TEAM 3 MASSIFS,u2
13,2025-01-13,False,False,54,DNF,DOHEN CHRISTOPHE,CYCLO CLUB DE GIERES,u2
