,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2025-01-30,False,False,24,1,BUCCI GREGORY,TEAM 3 MASSIFS,u3
1,2025-01-31,False,False,51,2,DENIS REMY,TEAM 3 MASSIFS,u3
2,2025-04-10,False,False,122,3,PARROT YVES,UNION CYCLISTE VOIRONNAISE,u3
3,2025-01-13,False,False,117,4,NORAZ FLORENT,UNION CYCLISTE VOIRONNAISE,u3
4,2025-01-30,False,False,169,5,UHRY GILLES,TEAM 3 MASSIFS,u3
5,2025-01-10,False,False,137,6,RAJON TITOUAN,ECHIROLLES SPRINTCLUB AMICALELAIQUE,u3
6,2023-01-01,False,False,-1,7,DUMOULIN HERVE,,u3
7,2025-01-13,False,False,69,8,GIANNONE JOSEPH,UNION CYCLISTE VOIRONNAISE,u3
8,2025-02-26,False,False,129,9,PIC GERARD,LE FONTANIL CYCLISME,u3
9,2025-01-13,False,False,135,10,QUERNIARD PIERRE,UNION CYCLISTE VOIRONNAISE,u3
10,2025-01-13,False,False,165,11,TRAMAGLIA CEDRIC,JARRIE CHAMP SUR DRAC CYCLISME,u3
11,2025-03-19,False,False,176,12,VIAL WILLY,LE FONTANIL CYCLISME,u3
12,2025-01-13,False,False,27,13,BUSCAYLET PHILIPPE,CYCLO CLUB DE GIERES,u3
13,2025-01-13,False,False,113,14,MICAS TITOUAN,CYCLO CLUB DE GIERES,u3
14,2025-03-12,False,False,35,15,CHAUMONT COLIN,JARRIE CHAMP SUR DRAC CYCLISME,u3
15,2025-02-08,False,False,14,16,BESCOND DIDIER,JARRIE CHAMP SUR DRAC CYCLISME,u3
16,2025-01-13,False,False,123,17,PATRICELLI ARMAND,CYCLO CLUB DE GIERES,u3
17,2025-02-08,False,False,28,DNF,CANDEIAS DAMIEN,JARRIE CHAMP SUR DRAC CYCLISME,u3
18,2025-01-13,False,False,110,DNF,MERAT YANNICK,JARRIE CHAMP SUR DRAC CYCLISME,u3
19,2025-01-13,False,False,152,DNF,SEVOZ ARNAUD,UNION CYCLISTE VOIRONNAISE,u3
20,2025-02-06,False,False,68,DNS,GERRAND ANTONY,UNION CYCLISTE VOIRONNAISE,u3
