,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2023-01-01,False,False,-1,1,GAILLARD Julien,GMC38-EF,FFC
1,2023-01-01,False,False,-1,2,BERGER Pierre,GMC38-EF,FFC
2,2025-03-17,False,False,143,3,RICAU CHARLES,LE FONTANIL CYCLISME,Ufolep 1
3,2023-01-01,False,False,-1,4,ARLES Victor,Le Gageois,Ufolep 1
4,2023-01-01,False,False,-1,5,CHIBKO Alexandre,_,
5,2023-01-01,False,False,-1,6,MEUNIER Philippe,_,
6,2023-01-01,False,False,-1,7,BORNARD Lenaic,UC Montmeyran Valence,FFC
7,2023-01-01,False,False,-1,8,BERNE Stephane,UC Voiron,FFC
8,2025-01-31,False,False,42,9,COURTOIS CLEMENT,TEAM 3 MASSIFS,Ufolep 2
9,2023-01-01,False,False,-1,10,CHEYTION Antony,Velo Club Le Cheylard,FFC
10,2023-01-01,False,False,-1,11,AMBLARD Arnaud,C2S Seyssinet-Seyssins,FFC
11,2023-01-01,False,False,-1,12,DOBLADO Mathieu,Sud-Gresivaudan CC,FFC
12,2023-01-01,False,False,-1,13,DUPOUY Jerome,ASC Macot La Plagne,FSGT
13,2023-01-01,False,False,-1,14,GALMICHE Dorian,_,
14,2023-01-01,False,False,-1,15,CERVANTES Clement,Cyclisme Seyssinet Seyssins,FFC
15,2023-01-01,False,False,-1,16,CHARPENTIER Louis,_,
16,2023-01-01,False,False,-1,17,PARTY Mikael,_,
17,2023-01-01,False,False,-1,18,JUST Clement,_,
18,2023-01-01,False,False,-1,19,PETIT Robin,_,
19,2025-01-14,False,False,178,20,WINTZ TIMOTHEE,ALPIN'S WHEEL TEAM,Ufolep 1
20,2023-01-01,False,False,-1,21,RAMEL Gabin,_,
21,2023-01-01,False,False,-1,22,PIU Remi,_,
22,2023-01-01,False,False,-1,23,BOUCHER Florian,GMC38-EF,FFC
23,2023-01-01,False,False,-1,24,GAULTIER Antoine,_,
24,2023-01-01,False,False,-1,25,EXERTIER Guillaume,_,
25,2025-01-14,False,False,1,26,AGUD THIERRY,ALPIN'S WHEEL TEAM,Ufolep 2
26,2025-01-13,False,False,111,27,MERLO RAPHAEL,TEAM 3 MASSIFS,Ufolep 3
27,2023-01-01,False,False,-1,28,GRESANT Sebastien,GMC38-EF,FFC
28,2023-01-01,False,False,-1,29,MATHIEU Simon,_,FFC
29,2023-01-01,False,False,-1,30,WHITTLE Mathis,Vienne Condrieu Olympique Triathlon,FFTri
30,2023-01-01,False,False,-1,31,BERNADAC Arthur,C2S Seyssinet-Seyssins,FFC
31,2023-01-01,False,False,-1,32,WOOD Simon,VC Froges Villard-Bonnot,FSGT
32,2023-01-01,False,False,-1,33,SUPLISSON Antoine,_,
33,2023-01-01,False,False,-1,34,GEFFROY Maxime,ESSM,FFC
34,2023-01-01,False,False,-1,35,CABAU Boris,_,
35,2023-01-01,False,False,-1,36,BOISSY Loan,CRV Lyon Triathlon,FFTri
36,2023-01-01,False,False,-1,37,LACIRE Romain,GMC38-EF,FFC
37,2023-01-01,False,False,-1,38,VARCIN Hugo,ESSM,FFC
