,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2025-01-13,False,False,67,1,GATINEAU GAETAN,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,u3
1,2025-02-26,False,False,47,2,DELETROY AXEL,LE FONTANIL CYCLISME,u3
2,2025-01-13,False,False,111,3,MERLO RAPHAEL,TEAM 3 MASSIFS,u3
3,2025-01-13,False,False,26,4,BUISSON GREGORY,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,u3
4,2025-03-19,False,False,44,5,DE FLAUGERGUES FRANCOIS,SUD GRESIVAUDAN CYCLISME,u3
5,2025-01-13,False,False,95,6,LORENZO PHILIPPE,CYCLO CLUB DE GIERES,u3
6,2023-01-01,False,False,-1,7,HOUDARD Antoine,Union Cycliste Gradignanaise,u3
7,2025-01-13,False,False,139,8,RAMOUSSE CHRISTOPHE,CYCLO CLUB DE GIERES,u3
8,2025-01-13,False,False,131,9,PINTUS EMMANUEL,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,u3
9,2025-01-13,False,False,43,10,D ASCOLI JEAN PIERRE,CYCLO CLUB DE GIERES,u3
10,2023-01-01,False,False,-1,11,TRISTAN Sainthuile,Team 3 massifs,u3
11,2025-01-30,False,False,169,12,UHRY GILLES,TEAM 3 MASSIFS,u3
12,2025-01-14,False,True,101,13,MARGUET ALINE,ALPIN'S WHEEL TEAM,u3
13,2025-02-21,False,False,84,14,JALLIFFIER-TALMAT PATRICE,JARRIE CHAMP SUR DRAC CYCLISME,u3
14,2025-01-30,False,False,124,15,PATRICELLI GILLES,TEAM 3 MASSIFS,u3
