,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
10,2023-01-01,False,False,-1,1,ROUGEMONT FREDERIC,VELO SPORT GERZATOIS,50_59
9,2023-01-01,False,False,-1,2,RODIER JEAN CHRISTOPHE,VELO SPORT GERZATOIS,50_59
6,2025-02-21,False,False,84,3,JALLIFFIER-TALMAT PATRICE,JARRIE CHAMP SUR DRAC CYCLISME,50_59
8,2025-03-17,False,False,134,4,PUDELKO SEBASTIEN,LA TRONCHE VELO SPORT,50_59
3,2025-01-13,False,False,69,5,GIANNONE JOSEPH,UNION CYCLISTE VOIRONNAISE,50_59
2,2025-02-04,False,False,46,6,DEBUCK LAURENT,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,50_59
5,2025-01-13,False,False,82,7,INDERCHIT JEAN-LOUIS,UNION CYCLISTE VOIRONNAISE,50_59
1,2025-03-20,False,False,20,8,BOUSSELIOU MOHAMED,UNION CYCLISTE VOIRONNAISE,50_59
0,2025-02-08,False,False,14,9,BESCOND DIDIER,JARRIE CHAMP SUR DRAC CYCLISME,50_59
11,2025-01-13,False,False,152,10,SEVOZ ARNAUD,UNION CYCLISTE VOIRONNAISE,50_59
7,2025-01-13,False,False,117,11,NORAZ FLORENT,UNION CYCLISTE VOIRONNAISE,50_59
4,2025-01-10,False,False,72,12,GLENAZ LAURENT,ECHIROLLES SPRINTCLUB AMICALELAIQUE,50_59
