Clst,DOS,NOM,Club,Catégorie,Rem
01,28,MARTINEZ Philippe,TEAM JALLET AUTO,UFOLEP 3,
02,37,CONTI Frédéric ,LA MOTTE SERVOLEX CYCLISME,UFOLEP 3,
03,02,GATINEAU Gaetan,UC PONTCHARRA,UFOLEP 3,
04,42,TROUPEL Benoist,TEAM JALLET AUTO,UFOLEP 3,
05,47,BESCOND Didier,JARRIE CHAMP CYCLISME ,UFOLEP 3,
06,45,UHRY  Gilles ,TEAM 3 MASSIFS ,UFOLEP 3,
07,34,PUDELKO Sébastien,LA TRONCHE VELO SPORT,UFOLEP 3,
08,40,MORACCHIOLI Thomas,TEAM 3 MASSIFS ,UFOLEP 3,
09,16,TAMISIER Vincent,TEAM 3 MASSIFS ,UFOLEP 3,
10,38,MICAS Titouan,CYCLO CLUB GIERES,UFOLEP 3,
11,17,GIANNONE Joseph ,UC VOIRONNAISE,UFOLEP 3,
12,01,PINTUS Emmanuel,UC PONTCHARRA,UFOLEP 3,
13,39,PARMENTIER Victor,TEAM 3 MASSIFS ,UFOLEP 3,
14,92,GRANADE Dorine,AS FONTAINE CYCLISME,UFOLEP 3,Dame
15,12,NORAZ Florent,UC VOIRONNAISE,UFOLEP 3,
16,14,DELETROY Axel,LE FONTANIL CYCLISME,UFOLEP 3,
17,10,VIDAL Laurent ,UC VOIRONNAISE,UFOLEP 3,
18,44,TROUILLET Edgard,JARRIE CHAMP CYCLISME ,UFOLEP 3,
19,41,SAINTHUILE Tristan,TEAM 3 MASSIFS ,UFOLEP 3,
20,48,COLLETTE Maxime,TEAM 3 MASSIFS ,UFOLEP 3,
21,49,CARTIER  Stéphane ,JARRIE CHAMP CYCLISME ,UFOLEP 3,
22,50,LA RIZZA  Sébastien ,UC RIVES,UFOLEP 3,
23,05,CANDEIAS Damien,JARRIE CHAMP CYCLISME ,UFOLEP 3,
24,26,SEVOZ  Arnaud ,UC VOIRONNAISE,UFOLEP 3,
25,25,DOUARD Jean-Daniel ,TEAM JALLET AUTO,UFOLEP 3,
26,21,LENAIN Loic,LE FONTANIL CYCLISME,UFOLEP 3,
27,31,JALLIFFIER-TALMAT Patrice,JARRIE CHAMP CYCLISME ,UFOLEP 3,
28,07,BOUSSELIOU Mohamed,UC VOIRONNAISE,UFOLEP 3,
29,19,BUCCI Grégory,TEAM 3 MASSIFS ,UFOLEP 3,
30,03,BUISSON Grégory,UC PONTCHARRA,UFOLEP 3,
31,18,MARCHAIS Alexandre,LE FONTANIL CYCLISME,UFOLEP 3,
32,32,ALESSANDRI  Damien,TEAM 3 MASSIFS ,UFOLEP 3,
33,33,CHAUMONT Colin,JARRIE CHAMP CYCLISME ,UFOLEP 3,
34,04,BOUVIER Manon,UC PONTCHARRA,UFOLEP 3,Dame
35,06,HAGE Benoit,UC VOIRONNAISE,UFOLEP 3,
36,13,SORDET Fabien,UC VOIRONNAISE,UFOLEP 3,
37,22,VIAL Willy,LE FONTANIL CYCLISME,UFOLEP 3,
38,27,PASCAL Guy,ASPES CYCLOSPORT,UFOLEP 3,
39,29,QUERNIARD Pierre,UC VOIRONNAISE,UFOLEP 3,
40,36,PIC Gérard,LE FONTANIL CYCLISME,UFOLEP 3,
41,15,FROMENT Julien,JARRIE CHAMP CYCLISME ,UFOLEP 3,
42,30,JALLIFFIER-TALMAT Thomas,JARRIE CHAMP CYCLISME ,UFOLEP 3,
43,46,TRAMAGLIA Cédric,JARRIE CHAMP CYCLISME ,UFOLEP 3,
44,09,MERAT Yannick ,JARRIE CHAMP CYCLISME ,UFOLEP 3,
45,51,PROULT Sébastien,C.C. GIERES,UFOLEP 3,
46,08,TAYLOR John,UC COGNIN,UFOLEP 3,
47,20,INDERCHIT Jean-Louis,UC VOIRONNAISE,UFOLEP 3,
48,35,PATRICELLI Gilles,TEAM 3 MASSIFS ,UFOLEP 3,
49,23,MERLO Raphaël,TEAM 3 MASSIFS ,UFOLEP 3,
,43,GATEAUX damien,JARRIE CHAMP CYCLISME ,UFOLEP 3,DNF
