Clst,DOS,NOM,Club,Catégorie,Rem
1,2,FRITSH NICOLAS,UC VOIRONNAISE,UFOLEP 1,
2,1,CONTI GUILLAUME,TEAM JALLET AUTO,UFOLEP 1,
3,3,GAUTHIER--PHILIPPE  ERWIN,LAC ALIANCE CYCLISTE,UFOLEP 1,
4,10,VERNEY FREDERIC,TEAM JALLET AUTO,UFOLEP 1,
5,4,GIRAUD MATTHIEU,UC RIVES,UFOLEP 1,
6,11,WIECZOREK BAPTISTE,LA TEAM COULEURS SAVOIE,UFOLEP 1,
7,8,MUNSTERMAN NIELS,UC PONTCHARRA,UFOLEP 1,
8,12,CHAMBON,LA TEAM COULEURS SAVOIE,UFOLEP 1,
9,6,LAPIERRE NOE,TEAM 3 MASSIFS,UFOLEP 1,
,5,LABORY JEREMY,LAC ALLIANCE CYCLISME,UFOLEP 1,DNF
,7,MAINGOT ALEXANDRE,LAC ALLIANCE CYCLISME,UFOLEP 1,DNF
,9,PERES PIERRE,LA TEAM COULEURS SAVOIE,UFOLEP 1,DNF
