Rang,Dossard,Fédération,Dép.,Nom,Prénom,Club,Obs
1,8,,,DUTHILLE LUC,,LES 300,
2,9,,,FROMENT JULIEN,,JARRIE CHAMP SUR DRAC CYCLISME,
3,12,,,POUSERGUE JAUFRET,,ETOILE CYCLISTE DE CLERMONT FD,
4,16,,,SAINTHUILE TRISTAN,,TEAM 3 MASSIFS,
5,6,,,DAZIN PIERRE,,CYCLO SPORT CAVAILLON,
6,13,,,PUDELKO SEBASTIEN,,LA TRONCHE VELO SPORT,
7,18,,,UHRY GILLES,,TEAM 3 MASSIFS,
8,7,,,DENIS REMY,,TEAM 3 MASSIFS,
9,17,,,TROUPEL BENOIST,,,
10,14,,,RAVIT QUENTIN,,JARRIE CHAMP SUR DRAC CYCLISME,
11,19,,,VIAL WILLY,,LE FONTANIL CYCLISME,
12,4,,,BUCCI GREGORY,,TEAM 3 MASSIFS,
13,5,,,CHAUMONT COLIN,,JARRIE CHAMP SUR DRAC CYCLISME,
14,15,,,REYNIER JEAN-MICHEL,,ORCIERES CYCLING TEAM,
15,2,,,ARNAUD AGATHE,,CYCLO CLUB DE GIERES,
16,11,,,MORACCHIOLI THOMAS,,TEAM 3 MASSIFS,
17,1,,,ALESSANDRI DAMIEN,,TEAM 3 MASSIFS,
AB,3,,,BESCOND DIDIER,,JARRIE CHAMP SUR DRAC CYCLISME,
AB,10,,,MESSY HUGO,,ORCIERES CYCLING TEAM,
