Clst,DOS,NOM,Club,Catégorie,Rem
01,20,MORACCHIOLI THOMAS,TEAM 3 MASSIFS,UFOLEP 2,
02,11,BROUSSET TRISTAN,ALPIN'S WHEEL TEAM,UFOLEP 2,
03,16,JALLIFFIER-TALMAT THOMAS,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 2,
04,18,MERLO RAPHAEL,TEAM 3 MASSIFS,UFOLEP 2,
05,13,DAVID YANN,UNION CYCLISTE VOIRONNAISE,UFOLEP 2,
06,14,DE FLAUGERGUES FRANCOIS,SUD GRESIVAUDAN CYCLISME,UFOLEP 2,
07,12,CHERY PAUL,LE FONTANIL CYCLISME,UFOLEP 2,
08,22,SOURIMANT NICOLAS,LE FONTANIL CYCLISME,UFOLEP 2,
09,15,DELETROY AXEL,LE FONTANIL CYCLISME,UFOLEP 2,
10,21,PUDELKO SEBASTIEN,LA TRONCHE VELO SPORT,UFOLEP 2,
,19,MICAS TITOUAN,CYCLO CLUB DE GIERES,UFOLEP 2,DNF
,17,LISI SAMUELE,TEAM 3 MASSIFS,UFOLEP 2,DNF
