Clst,DOS,NOM,Club,Catégorie,Rem
01,30,BONNEFILLE ROMAIN,TEAM 3 MASSIFS,UFOLEP 3,
02,77,SAINTHUILE TRISTAN,TEAM 3 MASSIFS,UFOLEP 3,
03,24,ANCELY COLIN,TEAM 3 MASSIFS,UFOLEP 3,
04,66,LORENZO PHILIPPE,CYCLO CLUB DE GIERES,UFOLEP 3,
05,80,THEVENET PIERRICK,TEAM 3 MASSIFS,UFOLEP 3,
06,84,VIAL WILLY,LE FONTANIL CYCLISME,UFOLEP 3,
07,37,CHEMINOT PHILIBERT,TEAM 3 MASSIFS,UFOLEP 3,
08,73,RAMOUSSE CHRISTOPHE,CYCLO CLUB DE GIERES,UFOLEP 3,
09,33,BUISSON GREGORY,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 3,
10,49,DEBUCK LAURENT,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 3,
11,64,KAIFFER NICOLAS,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 3,
12,44,D'ASCOLI JEAN-PIERRE,CYCLO CLUB DE GIERES,UFOLEP 3,
13,81,TOFFANIN ALEXIS,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,
14,72,RAMBAUD JULIEN,TEAM 3 MASSIFS,UFOLEP 3,
15,82,TRAMAGLIA CEDRIC,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,
,83,UHRY GILLES,TEAM 3 MASSIFS,UFOLEP 3,DNF
,36,CHAUMONT COLIN,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,DNS
