Dos,Place,Nom,CLUBS UFOLEP,CLUBS Exterieurs,Fédération,Dépt,CATEGORIE 
31,1,BUCCI GREGORY,TEAM 3 MASSIFS,,UFO,038,
35,2,DENIS REMY,TEAM 3 MASSIFS,,UFO,38,
42,3,PARROT YVES,UNION CYCLISTE VOIRONNAISE,,UFO,038,
41,4,NORAZ FLORENT,UNION CYCLISTE VOIRONNAISE,,UFO,038,
49,5,UHRY GILLES,TEAM 3 MASSIFS,,UFO,038,
46,6,RAJON TITOUAN,ECHIROLLES SPRINTCLUB AMICALELAIQUE,,UFO,038,
36,7,DUMOULIN HERVE,UC RIVES,,FSGT,38,
38,8,GIANNONE JOSEPH,UNION CYCLISTE VOIRONNAISE,,UFO,038,
44,9,PIC GERARD,LE FONTANIL CYCLISME,,UFO,038,
45,10,QUERNIARD PIERRE,UNION CYCLISTE VOIRONNAISE,,UFO,038,
48,11,TRAMAGLIA CEDRIC,JARRIE CHAMP SUR DRAC CYCLISME,,UFO,038,
50,12,VIAL WILLY,LE FONTANIL CYCLISME,,UFO,038,
32,13,BUSCAYLET PHILIPPE,CYCLO CLUB DE GIERES,,UFO,038,
40,14,MICAS TITOUAN,CYCLO CLUB DE GIERES,,UFO,038,
34,15,CHAUMONT COLIN,JARRIE CHAMP SUR DRAC CYCLISME,,UFO,038,
30,16,BESCOND DIDIER,JARRIE CHAMP SUR DRAC CYCLISME,,UFO,038,
43,17,PATRICELLI ARMAND,CYCLO CLUB DE GIERES,,UFO,038,
33,AB,CANDEIAS DAMIEN,JARRIE CHAMP SUR DRAC CYCLISME,,UFO,038,
39,AB,MERAT YANNICK,JARRIE CHAMP SUR DRAC CYCLISME,,UFO,038,
47,AB,SEVOZ ARNAUD,UNION CYCLISTE VOIRONNAISE,,UFO,038,
37,NP,GERRAND ANTONY,UNION CYCLISTE VOIRONNAISE,,UFO,038,
