Dossard,Place,Nom,Prénom,Club,Département,Fédération,Catégorie
72,1,Rippert,Valentin,UC Pontcharra Grésivaudan,38,,UFOLEP 3
73,2,Colotti,Julien,Team 3 massifs,38,,UFOLEP 3
84,3,leiva Marcon,Benoît,VC Pontois,38,,UFOLEP 3
77,4,Raposo,Michel,TEAM6,69,FSGT,"FSGT HOMMES 4,5,6"
58,5,PATRICELLI ,GILLES,TEAM 3 MASSIFS,38,,UFOLEP 3
53,6,PARMENTIER,Victor,Team 3 Massifs,38,,UFOLEP 3
62,7,Gaillard,Richard,CC Gières,38,,UFOLEP 3
79,8,Larco,Christophe,Team ATC 26,26,FSGT,"FSGT HOMMES 4,5,6"
63,9,Querniard,Pierre,Uc voiron,38,,UFOLEP 3
65,10,Giannone,Joseph ,UC Voiron,38,,UFOLEP 3
81,11,hage,benoit,UC VOIRON,38,FFC,FFC HOMMES ACCESS 4
78,12,dumoulin,herve,UC RIVES,38,FSGT,"FSGT HOMMES 4,5,6"
82,13,Paradis,Fabrice ,VC rambertois,26,FSGT,"FSGT HOMMES 4,5,6"
57,14,Rajon,Titouan,Scale,38,,UFOLEP 3
80,15,BAFFERT,cedric,ucv,38,FFC,FFC HOMMES ACCESS 4
59,16,Candeias,Damien,JCC,38,,UFOLEP 3
67,17,Vial,Willy,Le Fontanil cyclisme,38,,UFOLEP 3
54,18,DELETROY,AXEL,Fontanil cyclisme,38,,UFOLEP 3
74,19,UHRY,Gilles,Team 3 Massifs,38,,UFOLEP 3
51,20,Bucci,Gregory,Team 3 Massifs,38,,UFOLEP 3
64,21,Valero ,Angelique ,Fontanil cyclisme,38,,UFOLEP 3
71,22,Chery,Paul,Fontanil Cyclisme,38,,UFOLEP 3
60,23,SOLA,Quentin,Fontanil cyclisme,38,,UFOLEP 3
69,24,Marchais,Alexandre,Fontanil Cyclisme,38,,UFOLEP 3
56,25,RIBEZZI,Valentin,FONTANIL CYCLISME,38,,UFOLEP 3
75,26,Bousseliou,Mohamed,UC Voiron,38,FFC,FFC HOMMES ACCESS 4
76,27,Inderchit,jean louis,UC VOIRON,38,FFC,FFC HOMMES ACCESS 4
68,28,Larizza ,Sébastien ,Fontanil,38,,UFOLEP 3
55,?,Brosseau,Mathieu,Naucelles Team Cyclisme,Autre,,UFOLEP 3
52,AB,Lenain,Loic,Fontanil FC,38,,UFOLEP 3
61,AB,Delecambre,Yohann,TEAM 3 MASSIFS,38,,UFOLEP 3
66,AB,gateaux,damien,jarrie champ cyclisme,38,,UFOLEP 3
70,AB,PIC,Gérard,Le Fontanil cyclisme,38,,UFOLEP 3
83,NP,Villier,Fabrice,VC rambertois,26,FSGT,"FSGT HOMMES 4,5,6"
