Classement,Dossard,NomFamille,Prénom,Colonne1,Club,Sprint,CLM,Elimination,Total 
1er,83,Messy,Patrick,UFOLEP4,Orcière Team Cycling,18,12,14,74
2ème,86,Vial,Jacques,UFOLEP 4,SCALE,24,10,6,74
3ème,95,Alessandri,Damien,UFOLEP 4,Team 3 Massifs,10,11,13,55
4ème,85,Glenaz,Laurent,UFOLEP 4,SCALE,12,8,5,45
5ème,89,Hurson,Nicolas,UFOLEP 4,Team 3 Massifs,6,7,7,33
6ème,90,Caruelle,Florent,UFOLEP 4,Team 3 Massifs,2,9,10,32
7ème,84,Barnabé,Bruno,UFOLEP 4,SCALE,0,6,12,24
8ème,82,Chabot,Gilles,UFOLEP 4,Orcière Team Cycling,3,3,9,21
9ème,88,Carre,Hervé,UFOLEP 4,Team 3 Massifs,0,5,4,14
10ème,87,Vial,Fabrice,UFOLEP 4,CCG,0,2,8,12
11ème,80,Djatout,Kamel,UFOLEP 4,Uc Pontcharra,0,4,2,10
12ème,81,Angot,Loic,UFOLEP 4,Fontanil Cyclisme,0,1,1,3
13ème,96,Buisson,Gregory,UFOLEP 4,Uc Pontcharra,0,0,3,3
