,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,False,False,-1,1,LIMONE Maxime,Union Cycliste Pélussin,SH
1,False,False,-1,2,BERGAUD Sacha,Scott Creuse oxygène,CJ
2,False,False,-1,3,TACHOT Laurent,C2S,M3
3,False,False,-1,4,TACHOT Thomas,VC Villefranche-en-Beaujolais,SH
4,False,False,-1,5,CHEYTION Antony,VELO CLUB LE CHEYLARD,M2
5,False,False,-1,6,LAFAYE Hugo,Avenir cycliste cusset,CJ
6,False,False,54,7,LEDAC PIERRE,LA TRONCHE VELO SPORT,U1
7,False,False,167,8,IVARS FLORENT,VC PONTOIS,U1
8,False,False,-1,9,FUHRMANN Louis,Club Sport Handicap du Nord,CJ
9,False,False,-1,10,MELEZE Jean Philippe,Sud Grésivaudan Cyclisme Compétition,M2
10,False,False,-1,11,CHAILLAN Emanuel,EC Saint-Etienne Loire,SH
11,False,False,56,12,LORIGEON FABIEN,LA TRONCHE VELO SPORT,U2
12,False,False,-1,13,PELLERIN Xavier,UC Cognin,M2
13,False,False,-1,14,JANVIER Franck,Vélo club rambertois,M3
14,False,False,-1,15,DURAND Johan,CS galaurien,M2
15,False,False,-1,16,DOBLADO Mathieu,Sud Grésivaudan Cyclisme Compétition,CJ
16,False,False,51,17,CHEVIGNON FRANCK,LA TRONCHE VELO SPORT,U2
17,False,False,-1,18,MELEZE Frédéric,SUD GRESIVAUDAN CYCLISME COMPETITION SGCC,M2
18,False,False,0,19,AGUD THIERRY,ALPIN'S WHEEL TEAM,U2
19,False,False,-1,20,CUNHA Paul,Sporting Cyclo Manissieux,U1
20,False,False,-1,21,BERAUD Richard,CYCLO TEAM 69,U3
21,False,False,-1,22,FEIGE Jérôme,Olympique cyclisme Albertville,M3
22,False,False,80,23,MAZZA FABRICE,LE FONTANIL CYCLISME,U2
23,False,False,-1,24,FOURCADE Patrice,Olympique Albertville cyclisme,M3
24,False,False,-1,25,GEVAUDAN Didier,TEAM ATC 26 DONZÈRE,U3
25,False,False,66,26,YTOURNEL EDOUARD,LA TRONCHE VELO SPORT,U2
26,False,False,62,27,SIE SERGE,LA TRONCHE VELO SPORT,U2
27,False,False,-1,28,DEGORE Roméo,Vélo Club Saint Quentin,CJ
28,False,False,-1,29,PICOLLET André,Team sport bike 74,M4
29,False,False,-1,30,COLLET Leo,ESEG Douai,SH
30,False,False,-1,31,DAZIN Pierre,orcieres cycling team,U3
31,False,False,-1,32,BERTHET Jorick,V.C. ST QUENTIN FALLAVIER,CJ
32,False,False,-1,33,CHASTAGNIER Nicolas,ATC 26,SH
33,False,False,-1,34,FAURE Eric,Mapei,M2
34,False,False,-1,35,THIEVENT Jean Claude,Le soleil brille pour tout le monde,M2
35,False,False,-1,36,PATROUILLAULT Sylvain,,M2
36,False,False,14,37,LEONE MATTHIEU,CYCLO CLUB DE GIERES,U3
37,False,False,-1,38,VINCENT Pascal,Cyclo Team 69,M3
38,False,False,-1,39,SHAMIS Nizan,Israël,SH
39,False,False,-1,40,DECHAUMEL Dominique,VELOCE VANNETAIS CYCLISME,M3
40,False,False,-1,41,FRESSENET David,VELO CLUB RAMBERTOIS,M2
41,False,False,-1,42,VERDOL Philippe,,M3
42,False,False,-1,43,TEEARU Hans,Estonie,M1
