,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,False,False,-1,1,MATTIUSSI Laurent,UC Rives,Access1
1,False,False,63,2,VIDE NICOLAS,LA TRONCHE VELO SPORT,UFO 1
2,False,False,-1,3,DUMOULIN Hervé,UC Rives,Access4
3,False,False,22,4,PIGNEDE PIERRE,CYCLO CLUB DE GIERES,UFO 2
4,False,False,-1,5,BRAYMAND Yann,UC Rives,Access1
5,False,False,-1,6,BRON Didier,VC l'Isled'Abeau,FSGT 3
6,False,False,-1,7,FERRAND Michael,UC Rives,Access3
7,False,False,82,8,MONGE NICOLAS,LE FONTANIL CYCLISME,UFO 2
8,False,False,-1,9,GELAS Jean,UC Rives,Access2
9,False,False,81,10,MELINU JEROME,LE FONTANIL CYCLISME,UFO 1
10,False,False,68,11,ANGOT ANTOINE,LE FONTANIL CYCLISME,UFO 1
11,False,False,79,12,MARCHAIS ALEXANDRE,LE FONTANIL CYCLISME,UFO 3
12,False,False,-1,13,DESVIGNES Franck,Vélo Club Bourgoi,Access2
13,False,False,-1,14,SARRA Alain,UC Rives,Access4
14,False,False,-1,15,GUILLAT Fabien,SCA LesAbrets,Access1
15,False,False,90,16,SOLA QUENTIN,LE FONTANIL CYCLISME,UFO 3
16,False,False,-1,17,NEYRET BELOT Julien,SCA LesAbrets,Access1
17,False,False,-1,DNF,GERRAND Antony,SCA LesAbrets,Access1
18,False,False,-1,DNF,DEBAISIEUX Enzo,ISATIS,Open 3
19,False,False,141,DNF,CHAUVEL YANN,UC PONTCHARRA GRESIVAUDAN,UFO 1
20,False,False,10,DNS,DOHEN CHRISTOPHE,CYCLO CLUB DE GIERES,UFO 3
