,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,False,False,-1,01,PEZERIL Clément,Chambery Cyclisme Compétition,1ère Catégorie
1,False,False,-1,02,BAUDOUIN Jérémy,Team Jallet Auto,1ère Catégorie
2,False,False,-1,03,CHATAIN Axel,GMC38-EF,1ère Catégorie
3,False,False,-1,04,GAUDRY Clément,Lac Alliance Cycliste,1ère Catégorie
4,False,False,-1,05,NICOL Alexis,Chambery Cyclisme Compétition,1ère Catégorie
5,False,False,-1,06,TERRIER Vincent,La Motte-Servolex Cyclisme,1ère Catégorie
6,False,False,54,07,LEDAC PIERRE,LA TRONCHE VELO SPORT,1ère Catégorie
7,False,False,-1,08,PARIS Hugo,Lac Alliance Cycliste,1ère Catégorie
8,False,False,-1,09,MORAIS Ugo,Lac Alliance Cycliste,1ère Catégorie
9,False,False,-1,10,LAGACHE Jonathan,Lac Alliance Cycliste,1ère Catégorie
10,False,False,-1,11,SAGE Jérôme,UC Voiron,1ère Catégorie
11,False,False,-1,12,AUDIBERT Hugo,GMC38-EF,1ère Catégorie
12,False,False,-1,13,BAILLEUX David,ES Seynod,1ère Catégorie
13,False,False,-1,14,LECHEVALIER Aurelien,Lac Alliance Cycliste,1ère Catégorie
14,False,False,-1,15,RUFFINENGO Bastien,St Martin d'Hères,1ère Catégorie
15,False,False,-1,16,GAUTHIER-PHILIPPE Erwin,Lac Alliance Cycliste,1ère Catégorie
16,False,False,-1,17,HAGE Titouan,UC Voiron,1ère Catégorie
17,False,False,-1,18,ROURE Baptiste,Lac Alliance Cycliste,1ère Catégorie
18,False,False,-1,19,GRANADE Romuald,AS Fontaine Cyclisme,1ère Catégorie
19,False,False,-1,20,OSKWAREK Sylvain,-------,1ère Catégorie
20,False,False,-1,21,BEL Nathan,Cyclisme Seyssins Seyssinet,1ère Catégorie
21,False,False,-1,22,BAHUREL Pablo,UC Pontcharra Grésivaudan,1ère Catégorie
22,False,False,-1,23,RAMON Paul,Lac Alliance Cycliste,1ère Catégorie
23,False,False,-1,24,POUGHON Thomas,GMC38-EF,1ère Catégorie
24,False,False,-1,25,CHAPUIS Valentin,GMC38-EF,1ère Catégorie
25,False,False,-1,26,AUDIBERT Matthis,GMC38-EF,1ère Catégorie
26,False,False,-1,27,RUHLMANN Titouan,Vélo Club Turripinois,1ère Catégorie
27,False,False,146,28,FLANDRIN ALEXANDRE,UC PONTCHARRA GRESIVAUDAN,1ère Catégorie
28,False,False,-1,29,MAGNIN Jérôme,------,1ère Catégorie
29,False,False,137,DNF,BRONDEX MALO,UC PONTCHARRA GRESIVAUDAN,1ère Catégorie
30,False,False,141,DNF,CHAUVEL YANN,UC PONTCHARRA GRESIVAUDAN,1ère Catégorie
31,False,False,81,DNF,MELINU JEROME,LE FONTANIL CYCLISME,1ère Catégorie
32,False,False,-1,DNF,TONON Nathan,UC Voiron,1ère Catégorie
33,False,False,-1,DNF,TRUPPA Sébastien,Lac Alliance Cycliste,1ère Catégorie
34,False,False,-1,DNF,PAYSAN Thibaut,Lac Alliance Cycliste,1ère Catégorie
35,False,False,4,DNS,WINTZ TIMOTHEE,ALPIN'S WHEEL TEAM,1ère Catégorie
