,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,False,False,97,1,GUILLERMIN ROLAND,UC RIVES,Cat 4
1,False,False,101,2,ALESSANDRI DAMIEN,TEAM 3 MASSIFS,Cat 4
2,False,False,31,3,BERNABE BRUNO,SCAL ECHIROLLES,Cat 4
3,False,False,42,4,VIAL JACQUES,SCAL ECHIROLLES,Cat 4
4,False,False,139,5,BUISSON GREGORY,UC PONTCHARRA GRESIVAUDAN,Cat 4
5,False,False,35,6,GLENAZ LAURENT,SCAL ECHIROLLES,Cat 4
6,False,False,96,7,CONTAL GILBERT,UC RIVES,Cat 4
7,False,False,107,8,CARUELLE FLORENT,TEAM 3 MASSIFS,Cat 4
8,False,False,15,9,LOUPIEN VINCENT,CYCLO CLUB DE GIERES,Cat 4
9,False,False,-1,10,Chabot Gilles ,Orcières Cycling Team,Cat 4
10,False,False,28,11,VIAL FABRICE,CYCLO CLUB DE GIERES,Cat 4
11,False,False,99,12,VALERO JESUS,UC RIVES,Cat 4
12,False,False,140,13,CARTIER MILLON RAYMOND,UC PONTCHARRA GRESIVAUDAN,Cat 4
13,False,False,171,DNS,CHANEL OLIVIER,VC TURRIPINOIS,Cat 4
