,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2025-04-13,False,False,57,1,DUTHILLE LUC,LES 300,u3
1,2025-01-13,False,False,64,2,FROMENT JULIEN,JARRIE CHAMP SUR DRAC CYCLISME,u3
2,2023-01-01,False,False,-1,3,POUSERGUE JAUFRET,ETOILE CYCLISTE DE CLERMONT FD,u3
3,2025-01-13,False,False,146,4,SAINTHUILE TRISTAN,TEAM 3 MASSIFS,u3
4,2023-01-01,False,False,-1,5,DAZIN PIERRE,CYCLO SPORT CAVAILLON,u3
5,2025-03-17,False,False,134,6,PUDELKO SEBASTIEN,LA TRONCHE VELO SPORT,u3
6,2025-01-30,False,False,169,7,UHRY GILLES,TEAM 3 MASSIFS,u3
7,2025-01-31,False,False,51,8,DENIS REMY,TEAM 3 MASSIFS,u3
8,2023-01-01,False,False,-1,9,TROUPEL BENOIST,,u3
9,2025-04-04,False,False,140,10,RAVIT QUENTIN,JARRIE CHAMP SUR DRAC CYCLISME,u3
10,2025-03-19,False,False,176,11,VIAL WILLY,LE FONTANIL CYCLISME,u3
11,2025-01-30,False,False,24,12,BUCCI GREGORY,TEAM 3 MASSIFS,u3
12,2025-03-12,False,False,35,13,CHAUMONT COLIN,JARRIE CHAMP SUR DRAC CYCLISME,u3
13,2023-01-01,False,False,-1,14,REYNIER JEAN-MICHEL,ORCIERES CYCLING TEAM,u3
14,2025-01-13,False,True,5,15,ARNAUD AGATHE,CYCLO CLUB DE GIERES,u3
15,2025-01-30,False,False,115,16,MORACCHIOLI THOMAS,TEAM 3 MASSIFS,u3
16,2025-01-30,False,False,2,17,ALESSANDRI DAMIEN,TEAM 3 MASSIFS,u3
17,2025-02-08,False,False,14,AB,BESCOND DIDIER,JARRIE CHAMP SUR DRAC CYCLISME,u3
18,2023-01-01,False,False,-1,AB,MESSY HUGO,ORCIERES CYCLING TEAM,u3
