,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,False,False,-1,1,Huffschmidt Jeremy,Vélo Club Rambertois,cat1
1,False,False,126,2,RIFLADE THEO,TEAM 3 MASSIFS,cat1
2,False,False,-1,3,Huppenoire Yohan,Team 3 Massifs,cat1
3,False,False,54,4,LEDAC PIERRE,LA TRONCHE VELO SPORT,cat1
4,False,False,30,5,BERNABE AURELIEN,SCAL ECHIROLLES,cat1
5,False,False,114,6,HEURARD ANDREA,TEAM 3 MASSIFS,cat1
6,False,False,-1,7,Hage Titouan,UC Voiron,cat1
7,False,False,-1,8,HUFFSCHMIDT david,VC RAMBERTOIS,cat1
8,False,False,88,9,RIBEZZI THOMAS,LE FONTANIL CYCLISME,cat1
9,False,False,-1,10,truye patrick,Velo GriffonMeyzieu,cat1
10,False,False,-1,11,Schmit Raphaël,UC Voiron,cat1
11,False,False,-1,DNF,JANY Lucas,UC Voironnaise,cat1
12,False,False,-1,DNF,Tonon Nathan,UC Voiron,cat1
