,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2023-12-13,False,False,112,1,DUPIN ALEXANDRE,TEAM 3 MASSIFS,cat3
1,2024-01-15,False,False,94,2,VIAL WILLY,LE FONTANIL CYCLISME,cat3
2,2024-01-15,False,False,71,3,CHERY PAUL,LE FONTANIL CYCLISME,cat3
3,2024-01-15,False,False,39,4,RAJON TITOUAN,SCAL ECHIROLLES,cat3
4,2024-06-10,False,False,182,5,LENAIN LOIC,LE FONTANIL CYCLISME,cat3
5,2023-01-01,False,False,-1,6,Gevaudan Didier,TEAM ATC 26 DONZÈRE,cat3
6,2023-01-01,False,False,-1,7,ciprelli patrice,Roue d'or Sanary,cat3
7,2024-02-01,False,False,157,8,GIANNONE JOSEPH,UC VOIRONNAISE,cat3
8,2023-01-01,False,False,-1,9,Longo Jeannie,Roue d(or Sanary,cat3
9,2024-03-12,False,False,47,10,GATEAUX DAMIEN,JARRIE CHAMP SUR DRAC CYCLISME,cat3
10,2023-01-01,False,False,-1,11,PARROT YVES,UC VOIRON,cat3
11,2024-02-10,False,False,85,12,PINJON SAMUEL,LE FONTANIL CYCLISME,cat3
12,2023-01-01,False,False,-1,13,Hage Benoît ,UC Voiron,cat3
13,2024-02-01,False,False,130,14,UHRY GILLES,TEAM 3 MASSIFS,cat3
14,2024-01-15,False,False,29,15,BEDORA THOMAS,SCAL ECHIROLLES,cat3
15,2024-03-12,False,False,45,16,CANDEIAS DAMIEN,JARRIE CHAMP SUR DRAC CYCLISME,cat3
16,2024-01-15,False,True,92,17,VALERO ANGELIQUE,LE FONTANIL CYCLISME,cat3
17,2024-02-09,False,False,144,18,DENIS REMY,UC PONTCHARRA GRESIVAUDAN,cat3
18,2023-12-13,False,False,119,19,MOREAU HIPPOLYTE,TEAM 3 MASSIFS,cat3
19,2024-01-15,False,False,74,20,FOURNIER STEPHANE,LE FONTANIL CYCLISME,cat3
20,2024-01-05,False,False,21,21,PATRICELLI ARMAND,CYCLO CLUB DE GIERES,cat3
21,2024-02-15,False,False,164,22,SEVOZ ARNAUD,UC VOIRONNAISE,cat3
22,2023-01-01,False,False,-1,23,Inderchit jean louis,UC VOIRON,cat3
23,2023-01-01,False,False,-1,24,Bousseliou Mohamed,UC Voiron,cat3
24,2024-01-15,False,False,79,25,MARCHAIS ALEXANDRE,LE FONTANIL CYCLISME,cat3
25,2024-01-05,False,False,19,26,MICAS TITOUAN,CYCLO CLUB DE GIERES,cat3
26,2024-01-15,False,False,72,27,DELETROY AXEL,LE FONTANIL CYCLISME,cat3
27,2024-02-01,False,False,111,DNF,DELECAMBRE YOHANN,TEAM 3 MASSIFS,cat3
28,2023-01-01,False,False,-1,DNF,GRAS François,TEYRAN BIKE,cat3
29,2024-02-01,False,False,162,DNS,QUERNIARD PIERRE,UC VOIRONNAISE,cat3
30,2024-02-09,False,False,153,DNS,PETITE PATRICE,UC PONTCHARRA GRESIVAUDAN,cat3
31,2024-02-15,False,False,168,DNS,LEIVA MARCON BENOIT,VC PONTOIS,cat3
32,2023-01-01,False,False,-1,DNS,Ruiz Francois Xavier,BMC,cat3
