,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2023-01-01,False,False,-1,1,LONGO JEANNIE,,u4
1,2025-02-04,False,False,46,2,DEBUCK LAURENT,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,u4
2,2025-01-14,False,False,73,3,GUILLERMIN ROLAND,RIVES UNION CYCLISTE,u4
3,2023-01-01,False,False,-1,4,CIPRELLI PATRICE,,u4
4,2025-01-14,False,True,170,5,VALERO ANGELIQUE,RIVES UNION CYCLISTE,u4
5,2025-01-30,False,False,138,6,RAMBAUD JULIEN,TEAM 3 MASSIFS,u4
6,2023-01-01,False,False,-1,7,FABRO DENIS,,u4
7,2025-01-10,False,False,174,8,VIAL JACQUES,ECHIROLLES SPRINTCLUB AMICALELAIQUE,u4
8,2025-01-10,False,False,120,9,PARA DAMIEN,ECHIROLLES SPRINTCLUB AMICALELAIQUE,u4
9,2025-03-26,False,False,86,10,LA RIZZA SEBASTIEN,RIVES UNION CYCLISTE,u4
10,2025-01-10,False,False,11,DNF,BERNABE BRUNO,ECHIROLLES SPRINTCLUB AMICALELAIQUE,u4
11,2025-01-13,False,False,136,DNF,QUETIER YOANN,UNION CYCLISTE VOIRONNAISE,u4
