,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2023-01-01,False,False,-1,1er ,Messy Hugo,Orcière Team Cycling,u3
1,2023-12-13,False,False,112,2ème,DUPIN ALEXANDRE,TEAM 3 MASSIFS,u3
2,2024-01-15,False,False,39,3ème ,RAJON TITOUAN,SCAL ECHIROLLES,u3
3,2023-12-13,False,False,121,4ème ,PARMENTIER VICTOR,TEAM 3 MASSIFS,u3
4,2024-03-12,False,False,44,5ème ,BESCOND DIDIER,JARRIE CHAMP SUR DRAC CYCLISME,u3
5,2024-02-01,False,False,130,6ème ,UHRY GILLES,TEAM 3 MASSIFS,u3
6,2023-01-01,False,False,-1,7ème ,Albisser Esteban,UC Voiron,u3
7,2024-01-05,False,False,10,8ème ,DOHEN CHRISTOPHE,CYCLO CLUB DE GIERES,u3
8,2024-03-12,False,False,45,9ème ,CANDEIAS DAMIEN,JARRIE CHAMP SUR DRAC CYCLISME,u3
9,2024-03-28,False,False,103,10ème ,BERNARD PATRICK,TEAM 3 MASSIFS,u3
10,2024-01-05,False,False,20,11ème ,MOURCET NICOLAS,CYCLO CLUB DE GIERES,u3
11,2024-01-15,False,False,29,12ème ,BEDORA THOMAS,SCAL ECHIROLLES,u3
12,2024-02-15,False,False,168,13ème ,LEIVA MARCON BENOIT,VC PONTOIS,u3
13,2024-02-15,False,False,164,14ème ,SEVOZ ARNAUD,UC VOIRONNAISE,u3
14,2024-02-01,False,False,157,15ème ,GIANNONE JOSEPH,UC VOIRONNAISE,u3
15,2023-01-01,False,False,-1,16ème ,Descombes Alexis,UC Pontcharra,u3
16,2024-02-09,False,False,144,17ème ,DENIS REMY,UC PONTCHARRA GRESIVAUDAN,u3
17,2024-10-09,False,False,191,18ème ,MERLO RAPHAEL,TEAM 3 MASSIFS,u3
18,2023-01-01,False,False,-1,19ème ,Inderchit Jean-Louis,UC Voiron,u3
19,2024-01-15,False,False,72,20ème ,DELETROY AXEL,LE FONTANIL CYCLISME,u3
20,2023-01-01,False,False,-1,21er ,Bousseliou Mohamed,UC Voiron,u3
21,2023-01-01,False,False,-1,22ème ,Vassard Yanaël,UC Voiron,u3
