,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,False,False,-1,1er,Messy Patrick,Orcière Team Cycling,u4
1,False,False,42,2ème,VIAL JACQUES,SCAL ECHIROLLES,u4
2,False,False,101,3ème,ALESSANDRI DAMIEN,TEAM 3 MASSIFS,u4
3,False,False,35,4ème,GLENAZ LAURENT,SCAL ECHIROLLES,u4
4,False,False,116,5ème,HURSON NICOLAS,TEAM 3 MASSIFS,u4
5,False,False,107,6ème,CARUELLE FLORENT,TEAM 3 MASSIFS,u4
6,False,False,31,7ème,BERNABE BRUNO,SCAL ECHIROLLES,u4
7,False,False,-1,8ème,Chabot Gilles,Orcière Team Cycling,u4
8,False,False,106,9ème,CARRE HERVE,TEAM 3 MASSIFS,u4
9,False,False,28,10ème,VIAL FABRICE,CYCLO CLUB DE GIERES,u4
10,False,False,145,11ème,DJATOUT KAMEL,UC PONTCHARRA GRESIVAUDAN,u4
11,False,False,69,12ème,ANGOT LOIC,LE FONTANIL CYCLISME,u4
12,False,False,139,13ème,BUISSON GREGORY,UC PONTCHARRA GRESIVAUDAN,u4
