,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2023-01-01,False,False,-1,1,Gaillard Julien,GMC 38,FFC
1,2023-01-01,False,False,-1,2,Berger Pierre,GMC38,FFC
2,2023-01-01,False,False,-1,3,Berne Stéphane,UC Voiron,FFC
3,2023-01-01,False,False,-1,4,Meunier Philippe,,non licencié
4,2024-10-12,False,False,187,5,GURKE ELOUAN,TEAM 3 MASSIFS,UFOLEP 1
5,2023-01-01,False,False,-1,6,Casadei Giacomo,UC COGNIN,FSGT
6,2023-01-01,False,False,-1,7,Tonon Nathan,UC Voiron,FFC
7,2023-01-01,False,False,-1,8,CHARVIN Aloïs,VSRP,FFC
8,2023-01-01,False,False,-1,9,DOBLADO Mathieu,Sud Grésivaudan Cyclisme Compétition,FFC
9,2023-01-01,False,False,-1,10,Antsfeld Leonid,,non licencié
10,2024-10-08,False,False,192,11,BROUSSET TRISTAN,ALPIN'S WHEEL TEAM,UFOLEP 2
11,2023-01-01,False,False,-1,12,DAVID Yann,UC VOIRON,FFC
12,2024-01-22,False,False,4,13,WINTZ TIMOTHEE,ALPIN'S WHEEL TEAM,UFOLEP 1
13,2024-01-22,False,False,0,14,AGUD THIERRY,ALPIN'S WHEEL TEAM,UFOLEP 2
14,2023-01-01,False,False,-1,15,Wood Simon ,Vcfvb,FSGT
15,2024-01-05,False,False,10,16,DOHEN CHRISTOPHE,CYCLO CLUB DE GIERES,UFOLEP 3
16,2023-01-01,False,False,-1,17,VIOLLET Antoine,,non licencié
17,2024-10-09,False,False,191,18,MERLO RAPHAEL,TEAM 3 MASSIFS,UFOLEP 3
18,2024-01-05,False,False,22,19,PIGNEDE PIERRE,CYCLO CLUB DE GIERES,UFOLEP 2
19,2023-01-01,False,False,-1,20,Richard Clément ,GUC Triathlon,FFC Tri
20,2023-01-01,False,False,-1,21,Mathieu Simon,,non licencié
21,2023-01-01,False,False,-1,22,Duthille Luc,,non licencié
22,2023-01-01,False,False,-1,23,Hamoudi Driss,,non licencié
23,2023-01-01,False,False,-1,24,FAVRE-VERAND JOEL,UC VOIRON,FFC
24,2023-01-01,False,False,-1,25,Joly Nicolas,,non licencié
25,2023-01-01,False,False,-1,26,Le Claire Cyril,,non licencié
26,2023-01-01,False,False,-1,27,BOURBON Vicente,GUC,FFC
27,2023-01-01,False,False,-1,28,VERDOL Philippe,,non licencié
28,2024-01-15,False,False,72,29,DELETROY AXEL,LE FONTANIL CYCLISME,UFOLEP 3
29,2023-01-01,False,False,-1,30,DE FLAUGERGUES François ,SUD grésivaudan cyclisme compétition,FFC
30,2024-10-12,False,False,188,31,ACCOU MARTIN,TEAM 3 MASSIFS,UFOLEP 3
31,2024-01-15,False,False,41,32,SUGNY LAURENT,SCAL ECHIROLLES,UFOLEP 2
32,2023-01-01,False,False,-1,33,Maingault Laurent,Ceviche united,FSGT
33,2023-01-01,False,False,-1,34,Goudard Olivier,,non licencié
