,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2023-01-01,False,False,-1,1,BERNE Stéphane,UC Voiron,
1,2023-01-01,False,False,-1,2,BELANGER Louison,GMC 38,
2,2023-01-01,False,False,-1,3,VIAL Jules,GMC38-EF,
3,2023-01-01,False,False,-1,4,GAILLARD Julien,GMC 38,
4,2023-01-01,False,False,-1,5,CASADEI Giacomo,UC Cognin,
5,2024-02-16,False,False,132,6,BLANCHIN MATHIEU,TEAM VERCORS,1 ERE
6,2023-01-01,False,False,-1,7,DOBLADO Mathieu ,Sud Grésivaudan Cyclisme Compétition,
7,2024-10-12,False,False,-2,8,GURKE ELOUAN,,
8,2023-01-01,False,False,-1,9,ANTSFELD Leonid,,
9,2023-01-01,False,False,-1,10,BESSONE Rémy,Orcières Cycling Team,
10,2023-01-01,False,False,-1,11,COSTECHAREYRE Claude,Vélo Club Valrhona,
11,2023-01-01,False,False,-1,12,DAVID Yann,UC Voiron,
12,2023-01-01,False,False,-1,13,CHARVIN Aloïs,VSRP,
13,2023-01-01,False,False,-1,14,RENAUT  Lucien ,C2S,
14,2023-01-01,False,False,-1,15,GIBOIN Florian ,,
15,2023-01-01,False,False,-1,16,PAILLARD Valère ,C2S,
16,2024-01-22,False,False,0,17,AGUD THIERRY,ALPIN'S WHEEL TEAM,2 EME
17,2023-01-01,False,False,-1,18,BOUCHER Florian,GMC38,
18,2024-10-09,False,False,-2,19,MERLO RAPHAEL,,
19,2023-01-01,False,False,-1,20,PETIT Robin,,
20,2023-01-01,False,False,-1,21,WOOD Simon,VCFVB,
21,2024-01-15,False,False,80,22,MAZZA FABRICE,LE FONTANIL CYCLISME,2 EME
22,2023-01-01,False,False,-1,23,DUTHILLE Luc,,
23,2024-01-05,False,False,10,24,DOHEN CHRISTOPHE,CYCLO CLUB DE GIERES,3 EME
24,2024-01-15,False,False,30,25,BERNABE AURELIEN,SCAL ECHIROLLES,1 ERE
25,2023-01-01,False,False,-1,26,FAVRE-VERAND Joël,UC VOIRON,
26,2023-01-01,False,False,-1,27,JOLY Nicolas,,
27,2023-01-01,False,False,-1,28,DE VAULX Jean-Baptiste,,
28,2023-01-01,False,False,-1,29,POUTOT Francis ,U.C de l'Oisans,
29,2023-01-01,False,False,-1,30,GERVAISE Gaspard,C2S,
30,2023-01-01,False,False,-1,31,DE FLAUGERGUES  François,Sud grésivaudan cyclisme compétition,
31,2024-01-15,False,False,93,32,VEREECKE GUILLAUME,LE FONTANIL CYCLISME,
32,2023-01-01,False,False,-1,33,CLÉNET Dorian,,
33,2023-01-01,False,False,-1,34,BRACHET Stéphan,,
34,2023-01-01,False,False,-1,35,GEOFFROY Camille,C2S,
35,2023-01-01,False,False,-1,36,LUXEMBOURG David, ,
36,2023-01-01,False,False,-1,37,VERDOL Philippe ,,
37,2023-01-01,False,False,-1,38,LAURENT Tom,,
38,2023-01-01,False,False,-1,39,MAINGAULT Laurent,Ceviche United,
39,2023-01-01,False,False,-1,40,COLLANGE Thibaut,UC Albenassienne,
40,2024-03-12,False,False,45,41,CANDEIAS DAMIEN,JARRIE CHAMP SUR DRAC CYCLISME,3 EME
41,2024-01-15,False,False,17,42,MEHU JEAN-PHILIPPE,CYCLO CLUB DE GIERES,3 EME
42,2023-01-01,False,False,-1,43,LORENZO Philippe ,Cyclo club Gières,
43,2024-02-01,False,False,127,44,SEITE ALAIN,TEAM 3 MASSIFS,2 EME
44,2023-01-01,False,False,-1,45,BAKEN Annet,Des Roues en Elles,
45,2024-03-04,False,False,23,46,RAMOUSSE CHRISTOPHE,CYCLO CLUB DE GIERES,3 EME
46,2023-01-01,False,False,-1,47,PINEAU Louison,,
47,2023-01-01,False,False,-1,48,JOAL Antoine,,
48,2023-01-01,False,False,-1,49,BENTROUDI-GARCIA Chayane,,
49,2023-01-01,False,False,-1,50,LEMAIGRE Théo,GMC38,
50,2024-02-05,False,False,59,51,PERRIN YANNICK,LA TRONCHE VELO SPORT,3 EME
51,2024-01-22,False,True,3,52,HERTAULT AGNES,ALPIN'S WHEEL TEAM,4 EME
52,2023-01-01,False,False,-1,53,LIANCE MARQUET Victor,C2S,
53,2023-01-01,False,False,-1,54,RICHALET Anouche,,
54,2024-02-01,False,False,110,55,COLOTTI JULIEN,TEAM 3 MASSIFS,2 EME
55,2023-01-01,False,False,-1,56,ZIMMERMANN Guillaume,C2S,
56,2024-01-29,False,False,42,57,VIAL JACQUES,SCAL ECHIROLLES,4 EME
57,2023-01-01,False,False,-1,58,DRAZEK Laurent,,
58,2024-01-05,False,False,8,59,BUSCAYLET PHILIPPE,CYCLO CLUB DE GIERES,3 EME
59,2023-01-01,False,False,-1,60,CHARVOLIN Thomas ,,
60,2023-01-01,False,False,-1,61,MENEGOLI David,CDV TRIATHLON,
61,2023-01-01,False,False,-1,62,DUCOUX Patrick,AC CHASSENEUIL,4 EME
62,2024-03-12,False,False,46,63,CARTIER STEPHANE,JARRIE CHAMP SUR DRAC CYCLISME,3 EME
63,2024-02-01,False,False,130,64,UHRY GILLES,TEAM 3 MASSIFS,3 EME
64,2024-01-15,False,False,31,65,BERNABE BRUNO,SCAL ECHIROLLES,4 EME
65,2024-01-05,False,False,15,66,LOUPIEN VINCENT,CYCLO CLUB DE GIERES,4 EME
66,2024-02-01,False,False,125,67,RAMBAUD JULIEN,TEAM 3 MASSIFS,4 EME
67,2023-01-01,False,False,-1,68,PECOULT Christian,Vélo Club Islois,4 EME
68,2024-02-01,False,False,106,69,CARRE HERVE,TEAM 3 MASSIFS,4 EME
69,2024-02-05,False,False,53,70,HORAUD PATRICE,LA TRONCHE VELO SPORT,4 EME
