,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2023-01-01,False,False,-1,1,SAVIOZ COLIN,CHARVIEU CHAVAGNEU ISERE CYCLISME,SH
1,2023-01-01,False,False,-1,2,MOREL BRUNO,VC MONT BLANC,SH
2,2023-01-01,False,False,-1,3,BELANGER LOUISON,GMC 38,SH
3,2023-01-01,False,False,-1,4,BERGER PIERRE,GMC 38,SH
4,2023-01-01,False,False,-1,5,RONFLET JORIS,UNION CYCLISTE VOIRONNAISE,M1
5,2023-01-01,False,False,-1,6,GAILLARD JULIEN,GMC 38,M2
6,2023-01-01,False,False,-1,7,MEUNIER PHILIPPE,,M2
7,2023-01-01,False,False,-1,8,JANVIER GUILLAUME PAS JALIER,ORLEANS LOIRET CYCLISME,M1
8,2023-01-01,False,False,-1,9,NATIVEL QUENTIN,CYCLE VERDURE BOURG,SH
9,2023-01-01,False,False,-1,10,CHRISTIN NICOLAS,CHAMROUSSE TEAM CYCLOSPORT,M2
10,2023-01-01,False,False,-1,11,CERVANTES CLEMENT,C2S,CJ
11,2023-01-01,False,False,-1,12,CABOCHE SEBASTIEN,GMC 38,M2
12,2023-01-01,False,False,-1,13,ANTSFELD LEONID,,M3
13,2026-03-02,False,False,123,14,BROUSSET TRISTAN,ALPIN'S WHEEL TEAM,U2
14,2023-01-01,False,False,-1,15,VIGNAUD STEPHANE,,M2
15,2023-01-01,False,False,-1,16,MULLER CORENTIN,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,SH
16,2023-01-01,False,False,-1,17,PIU REMI,,M1
17,2023-01-01,False,False,-1,18,BEN LAHOUSSINE ADONIS,GMC 38,SH
18,2023-01-01,False,False,-1,19,VIGNON PAUL-ELIOTT,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,CJ
19,2023-01-01,False,False,-1,20,RICO HUGUES,GMC 38,M3
20,2026-03-02,False,False,122,21,AGUD THIERRY,ALPIN'S WHEEL TEAM,U2
21,2026-03-02,False,False,127,22,WINTZ TIMOTHEE,ALPIN'S WHEEL TEAM,U1
22,2023-01-01,False,False,-1,23,GRESANT SEBASTIEN,GMC 38,M3
23,2023-01-01,False,False,-1,24,BOUCHER FLORIAN,GMC 38,M2
24,2026-02-17,False,False,36,25,DAVID YANN,UNION CYCLISTE VOIRONNAISE,U2
