,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,False,False,-1,1,Prénom / Nom Catégorie Temps,,
1,False,False,-1,2,BESSONE Remy,,UFOLEP 3
2,False,True,108,3,CHAVANON ALISON,TEAM 3 MASSIFS,UFOLEP 3
3,False,False,178,4,MORACCHIOLI THOMAS,TEAM 3 MASSIFS,UFOLEP 3
4,False,False,119,5,MOREAU HIPPOLYTE,TEAM 3 MASSIFS,UFOLEP 3
5,False,False,45,6,CANDEIAS DAMIEN,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3
6,False,False,10,7,DOHEN CHRISTOPHE,CYCLO CLUB DE GIERES,UFOLEP 3
7,False,False,14,8,LEONE MATTHIEU,CYCLO CLUB DE GIERES,UFOLEP 3
8,False,False,29,9,BEDORA THOMAS,SCAL ECHIROLLES,UFOLEP 3
9,False,False,46,10,CARTIER STEPHANE,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3
10,False,False,184,11,TRAMAGLIA CEDRIC,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3
