,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2023-01-01,False,False,-1,1,MAISONOBE LEO,,NL
1,2023-01-01,False,False,-1,2,GAILLARD JULIEN,,Autre FD
2,2023-01-01,False,False,-1,3,BELANGER LOUISON,,Autre FD
3,2023-01-01,False,False,-1,4,NATIVEL QUENTIN,,Autre FD
4,2023-01-01,False,False,-1,5,GALLEGO MIKAEL,,NL
5,2023-01-01,False,False,-1,6,MEUNIER PHILIPPE,,NL
6,2025-01-13,False,False,74,7,GURKE ELOUAN,TEAM 3 MASSIFS,UFOLEP1
7,2023-01-01,False,False,-1,8,GINOT GASPARD,,Autre FD
8,2023-01-01,False,False,-1,9,DA COSTA PABLO,,Autre FD
9,2023-01-01,False,False,-1,10,ANTSFELD LEONID,,NL
10,2023-01-01,False,False,-1,11,DOBLADO MATHIEU,,NL
11,2023-01-01,False,False,-1,12,AMBLARD ARNAUD,,Autre FD
12,2025-01-13,False,False,40,13,COLLETTE MAXIME,TEAM 3 MASSIFS,UFOLEP2
13,2025-01-31,False,False,42,14,COURTOIS CLEMENT,TEAM 3 MASSIFS,UFOLEP2
14,2025-01-14,False,False,178,15,WINTZ TIMOTHEE,ALPIN'S WHEEL TEAM,UFOLEP1
15,2023-01-01,False,False,-1,16,PARTY MIKAEL,,NL
16,2023-01-01,False,False,-1,17,WOOD SIMON,,Autre FD
17,2023-01-01,False,False,-1,18,JACQUET MATHIEU,,NL
18,2023-01-01,False,False,-1,19,DEBORTOLI CEDRIC,,Autre FD
19,2023-01-01,False,False,-1,20,CABOCHE SEBASTIEN,,Autre FD
20,2023-01-01,False,False,-1,21,PHILIPPE GUILLAUME,,Autre FD
21,2023-01-01,False,False,-1,22,GRESANT SEBASTIEN,,Autre FD
22,2025-01-14,False,False,1,23,AGUD THIERRY,ALPIN'S WHEEL TEAM,UFOLEP2
23,2023-01-01,False,False,-1,24,MESPLOU TXOMIN,,NL
24,2025-01-30,False,False,115,25,MORACCHIOLI THOMAS,TEAM 3 MASSIFS,UFOLEP3
25,2025-02-26,False,False,47,26,DELETROY AXEL,LE FONTANIL CYCLISME,UFOLEP3
26,2025-02-26,False,False,38,27,CHERY PAUL,LE FONTANIL CYCLISME,UFOLEP2
27,2025-01-31,False,False,51,28,DENIS REMY,TEAM 3 MASSIFS,UFOLEP3
28,2023-01-01,False,False,-1,29,DAUBIE BENJAMIN,,NL
29,2025-01-13,False,False,111,30,MERLO RAPHAEL,TEAM 3 MASSIFS,UFOLEP3
30,2023-01-01,False,False,-1,31,CARTRON GAEL,,Autre FD
31,2023-01-01,False,False,-1,32,QUATRESOLS BENJAMIN,,NL
32,2025-01-13,False,False,26,33,BUISSON GREGORY,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP3
33,2023-01-01,False,False,-1,34,PHILIPPE LORENZO,,UFOLEP3
34,2023-01-01,False,False,-1,35,LIANCE MARQUET VICTOR,,Autre FD
35,2023-01-01,False,False,-1,36,PIERART LILIO,,NL
36,2025-01-13,False,False,139,38,RAMOUSSE CHRISTOPHE,CYCLO CLUB DE GIERES,UFOLEP3
37,2023-01-01,False,False,-1,39,LAUZIER MARTIN,,NL
38,2023-01-01,False,False,-1,40,MERMET CHRISTOPHE,,Autre FD
39,2023-01-01,False,False,-1,41,LAGARDE HENRI,,Autre FD
40,2025-01-10,False,False,120,42,PARA DAMIEN,ECHIROLLES SPRINTCLUB AMICALELAIQUE,UFOLEP4
41,2023-01-01,False,False,-1,43,GELAS JEAN,,Autre FD
42,2025-02-04,False,False,46,44,DEBUCK LAURENT,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP4
43,2023-01-01,False,False,-1,45,GONTIER PIERRE,,NL
44,2025-02-26,False,False,94,46,LISI SAMUELE,LE FONTANIL CYCLISME,UFOLEP2
45,2025-01-14,False,True,76,47,HERTAULT AGNES,ALPIN'S WHEEL TEAM,UFOLEP4
46,2023-01-01,False,False,-1,48,FERRO FABIO,,NL
47,2025-01-30,False,False,2,49,ALESSANDRI DAMIEN,TEAM 3 MASSIFS,UFOLEP3
48,2023-01-01,False,False,-1,50,ANCELY COLIN,,NL
49,2025-01-14,False,False,73,51,GUILLERMIN ROLAND,RIVES UNION CYCLISTE,UFOLEP4
50,2025-04-11,False,False,100,52,MARCHAIS ALEXANDRE,LE FONTANIL CYCLISME,UFOLEP4
51,2025-01-10,False,False,174,53,VIAL JACQUES,ECHIROLLES SPRINTCLUB AMICALELAIQUE,UFOLEP4
52,2025-01-13,False,False,37,54,CHEMINOT PHILIBERT,TEAM 3 MASSIFS,UFOLEP3
53,2023-01-01,False,False,-1,55,KOSCINSKA AGATA,,NL
54,2023-01-01,False,False,-1,56,JAVELAUD CECILE,,NL
55,2025-04-04,False,False,156,57,SORDET FABIEN,UNION CYCLISTE VOIRONNAISE,UFOLEP4
56,2025-01-10,False,True,81,58,ILNICKA OCEANE,ECHIROLLES SPRINTCLUB AMICALELAIQUE,UFOLEPF
57,2025-01-10,False,False,70,59,GIRARD GUY,ECHIROLLES SPRINTCLUB AMICALELAIQUE,UFOLEP4
58,2023-01-01,False,False,-1,60,ALLEQ NATHALIE,,Autre FD
59,2023-01-01,False,False,-1,61,MARKEY BLANDINE,,NL
