,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
1,2023-01-01,False,False,-1,1,BOSTVIRONNOIS MATHIS,ROUE D'OR MOULINS - YZEURE - AVE,20_29
8,2025-01-13,False,False,145,2,RIPPERT VALENTIN,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,20_29
5,2025-02-21,False,False,85,3,JALLIFFIER-TALMAT THOMAS,JARRIE CHAMP SUR DRAC CYCLISME,20_29
0,2023-01-01,False,False,-1,4,BONNEFOY MAXIME,ISSOIRE CYCLISME,20_29
9,2025-01-13,False,False,146,5,SAINTHUILE TRISTAN,TEAM 3 MASSIFS,20_29
2,2023-01-01,False,False,-1,6,BOSTVIRONNOIS QUENTIN,ROUE D'OR MOULINS - YZEURE - AVE,20_29
4,2025-02-06,False,False,68,7,GERRAND ANTONY,UNION CYCLISTE VOIRONNAISE,20_29
6,2025-01-13,False,False,89,8,LAPIERRE NOE,TEAM 3 MASSIFS,20_29
3,2025-01-31,False,False,51,9,DENIS REMY,TEAM 3 MASSIFS,20_29
7,2023-01-01,False,False,-1,DNS,RAGONE THOMAS,AURILLAC ATHLETIC CLUB VELOCYPEDE AURILLACOIS,20_29
