,DATE,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,2024-02-01,False,False,127,1,SEITE ALAIN,TEAM 3 MASSIFS,60
1,2024-02-01,False,False,162,2,QUERNIARD PIERRE,UC VOIRONNAISE,60
2,2024-01-22,False,False,0,3,AGUD THIERRY,ALPIN'S WHEEL TEAM,60
3,2024-01-15,False,False,84,4,PIC GERARD,LE FONTANIL CYCLISME,60
4,2024-01-15,False,False,74,5,FOURNIER STEPHANE,LE FONTANIL CYCLISME,60
5,2024-01-15,False,False,97,6,GUILLERMIN ROLAND,UC RIVES,60
6,2024-02-15,False,False,168,7,LEIVA MARCON BENOIT,VC PONTOIS,60
7,2024-01-15,False,False,31,8,BERNABE BRUNO,SCAL ECHIROLLES,60
8,2024-01-15,False,False,96,9,CONTAL GILBERT,UC RIVES,60
9,2024-01-05,False,False,8,10,BUSCAYLET PHILIPPE,CYCLO CLUB DE GIERES,60
10,2024-01-29,False,False,42,11,VIAL JACQUES,SCAL ECHIROLLES,60
11,2024-01-15,False,False,99,12,VALERO JESUS,UC RIVES,60
12,2024-01-05,False,False,18,13,MEYSSONNIER BERNARD,CYCLO CLUB DE GIERES,60
13,2024-02-05,False,False,53,14,HORAUD PATRICE,LA TRONCHE VELO SPORT,60
14,2024-02-09,False,False,140,15,CARTIER MILLON RAYMOND,UC PONTCHARRA GRESIVAUDAN,60
